risco,id,data,slug,alegacoes,termos,links_sem_sponsored,total_links,sem_divulgacao,outros_erros,url
12,2888,2026-01-15,kit-teclado-mouse-ultra-slim,3,"testamos, unboxing",0,6,,schema: JSON-LD inválido: Expecting value: line 1 column 1 (char 0),https://curadoriaprime.com/kit-teclado-mouse-ultra-slim/
12,3320,2026-03-03,lg-sqc1-review-2026-vale-a-pena,2,"testamos, em nossos testes",0,7,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/lg-sqc1-review-2026-vale-a-pena/
9,3310,2026-02-28,samsung-hw-b400f-review,1,em nossos testes,0,4,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/samsung-hw-b400f-review/
9,3924,2026-07-16,xiaomi-smart-band-10-vale-a-pena,0,,0,6,,schema: JSON-LD inválido: Expecting property name enclosed in double quotes: line 22 column 97 (char 748) | schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/xiaomi-smart-band-10-vale-a-pena/
9,4185,2026-07-26,samsung-galaxy-book4-review-2026,1,usei a,0,11,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/samsung-galaxy-book4-review-2026/
6,2905,2026-01-15,samsung-galaxy-s25-5g-review,0,,0,6,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/samsung-galaxy-s25-5g-review/
6,2921,2026-01-15,iphone-16e-review-2026,0,,0,2,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/iphone-16e-review-2026/
6,2935,2026-01-16,soundcore-liberty-4-nc-vale-a-pena,0,,0,6,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/soundcore-liberty-4-nc-vale-a-pena/
6,2954,2026-01-16,galaxy-s24-fe-em-2026,0,,0,2,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/galaxy-s24-fe-em-2026/
6,3126,2026-01-22,samsung-u8100f-smart-tv-4k-review,0,,0,9,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/samsung-u8100f-smart-tv-4k-review/
6,3169,2026-01-25,samsung-u8600f-review,0,,0,9,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/samsung-u8600f-review/
6,3250,2026-02-23,jbl-cinema-sb180-review-vale-a-pena,0,,0,5,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/jbl-cinema-sb180-review-vale-a-pena/
6,3835,2026-07-14,xiaomi-smart-band-9-active-vale-a-pena,0,,0,8,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/xiaomi-smart-band-9-active-vale-a-pena/
6,3858,2026-07-18,fire-tv-stick-4k-wifi-6,0,,0,8,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/fire-tv-stick-4k-wifi-6/
6,3871,2026-07-20,galaxy-watch7-44mm-vale-a-pena,0,,0,2,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/galaxy-watch7-44mm-vale-a-pena/
6,4155,2026-07-22,tcl-c6k-review-2026,0,,0,11,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/tcl-c6k-review-2026/
6,4159,2026-07-24,xiaomi-redmi-note-14-pro-plus-review-2026,0,,0,7,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/xiaomi-redmi-note-14-pro-plus-review-2026/
6,4456,2026-08-01,lenovo-ideapad-slim-3-notebook-2026,0,,0,13,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'reviewCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/lenovo-ideapad-slim-3-notebook-2026/
6,4474,2026-08-03,tablets-para-volta-as-aulas-2026-2,0,,0,15,,schema: 'aggregateRating' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa. | schema: 'ratingCount' no JSON-LD — §2.4 proíbe publicar nota agregada de terceiros como se fosse nossa.,https://curadoriaprime.com/tablets-para-volta-as-aulas-2026-2/
3,2982,2026-01-20,samsung-galaxy-a16-review,1,testamos,0,12,,,https://curadoriaprime.com/samsung-galaxy-a16-review/
3,3014,2026-01-18,purificador-de-agua-electrolux-pe12g-review,0,,0,5,,"schema: JSON-LD inválido: Expecting ',' delimiter: line 108 column 1 (char 3365)",https://curadoriaprime.com/purificador-de-agua-electrolux-pe12g-review/
3,4397,2026-07-27,presentes-dia-dos-pais-tech-ate-300,0,,0,14,,schema: JSON-LD inválido: Expecting value: line 1 column 1 (char 0),https://curadoriaprime.com/presentes-dia-dos-pais-tech-ate-300/
3,4435,2026-08-13,acer-aspire-5-a515-45-r2a3-review-2026,1,testamos,0,13,,,https://curadoriaprime.com/acer-aspire-5-a515-45-r2a3-review-2026/
3,4537,2026-08-10,apple-tv-4k,0,,0,6,,schema: JSON-LD inválido: Expecting value: line 1 column 1 (char 0),https://curadoriaprime.com/apple-tv-4k/
